Quarter,Minute,Second,Down,ToGo,YardLine,PointDiff,PlayType
1,9,52,1,10,85,0,1
1,13,3,1,10,25,-3,1
2,14,46,1,10,39,7,1
2,13,41,3,8,51,0,1
4,10,35,3,11,85,0,1
3,11,7,2,11,10,-3,0
2,10,36,3,6,81,1,1
3,4,38,2,10,52,-28,1
1,0,24,2,3,38,4,1
4,11,45,3,2,28,0,1
3,13,10,3,1,49,7,0
1,2,18,2,10,16,7,1
4,2,55,2,8,5,9,1
2,0,14,3,17,74,10,1
3,13,41,2,10,49,-7,1
1,0,10,2,19,4,4,0
3,10,48,2,9,15,10,1
1,15,0,1,10,25,0,0
2,8,56,2,10,85,-10,1
2,4,20,3,6,29,7,1
1,9,57,2,10,20,-3,0
4,7,24,2,10,45,-3,1
1,1,45,2,10,90,-4,1
1,11,55,3,15,37,0,1
4,2,20,2,4,36,29,0
1,12,58,2,1,55,0,1
2,0,11,1,1,99,-11,1
1,12,2,1,1,99,0,1
3,0,24,1,10,35,-18,0
2,7,4,1,10,56,4,1
1,2,24,2,1,29,7,0
3,4,24,2,10,26,-18,0
2,14,10,3,8,76,-10,1
2,1,37,2,3,42,-10,1
4,5,29,2,7,39,14,1
2,1,25,1,10,58,-13,1
2,14,0,1,10,50,0,0
3,3,58,3,8,53,10,1
3,4,27,1,15,61,-13,1
2,7,53,2,5,53,-11,0
2,5,2,1,10,35,18,1
3,4,21,4,1,51,14,0
2,3,16,1,10,49,4,0
2,0,56,2,8,33,7,1
4,12,38,1,10,69,-4,1
2,8,58,1,10,31,-15,1
2,0,25,3,1,25,-11,1
1,8,16,1,10,80,-3,1
2,3,47,2,10,72,-10,1
3,5,31,2,4,96,-10,1
3,12,36,2,7,25,10,1
3,8,8,2,2,98,20,0
4,7,29,1,2,98,23,1
3,1,55,2,6,40,-42,1
2,5,20,1,10,51,-13,1
1,2,18,2,12,25,0,0
2,4,24,3,8,62,0,1
4,4,4,3,6,17,10,0
1,1,25,3,23,18,-6,1
2,3,54,2,2,28,-8,0
1,7,31,1,10,46,0,1
4,3,52,1,10,66,-35,1
3,11,51,1,10,18,-4,0
4,7,2,1,10,55,3,1
4,3,27,1,10,22,-8,1
4,15,0,1,10,67,-3,1
2,14,16,2,8,22,5,1
1,3,45,3,7,17,-7,1
2,4,15,1,10,62,3,0
4,10,40,3,15,26,0,1
1,2,41,2,10,23,7,1
3,5,39,2,8,62,0,1
1,8,24,3,9,53,-7,1
1,2,54,1,10,58,0,0
3,6,41,1,10,43,-4,0
3,0,26,2,20,60,-1,0
2,2,18,2,1,86,-17,1
2,9,31,3,1,29,-9,0
3,11,7,1,10,56,-13,0
4,2,8,2,9,21,22,0
2,5,56,3,6,76,14,1
2,4,50,2,8,55,9,1
1,2,25,1,10,35,3,1
2,10,50,2,10,73,4,1
2,2,18,1,10,57,-3,0
2,4,54,1,20,21,-28,1
1,9,56,1,10,69,0,0
3,13,38,3,4,27,-21,1
3,0,20,2,10,47,8,0
2,11,9,2,6,85,-13,1
3,10,40,1,10,89,27,0
1,11,43,2,22,14,0,1
4,13,50,3,3,41,-14,1
3,14,46,2,10,34,-16,0
2,0,5,2,8,28,7,0
3,5,39,1,10,51,-25,1
2,0,27,1,10,69,-4,1
3,11,51,2,2,83,-1,0
2,2,0,2,8,32,7,0
2,10,22,1,10,36,-8,1
1,14,56,2,10,25,0,1
4,5,50,1,10,68,24,0
2,11,19,3,10,67,-1,1
4,1,35,2,15,27,0,1
3,11,54,3,5,80,1,1
2,2,25,1,10,63,-16,0
3,12,35,2,5,25,-10,1
1,10,58,1,10,25,0,0
4,6,49,4,1,88,33,0
2,14,29,2,9,58,10,1
4,3,54,3,5,23,-4,1
2,3,45,2,8,91,0,1
3,10,21,1,10,33,-14,1
3,11,12,2,4,37,-13,0
2,12,5,4,1,80,7,0
3,3,24,1,10,60,-18,1
4,8,17,2,7,54,6,1
2,5,27,1,10,35,3,0
1,3,40,1,20,15,7,1
4,3,1,2,8,58,26,0
1,6,26,1,10,24,4,0
2,13,26,2,10,45,7,1
2,2,0,1,10,35,-3,1
1,5,3,1,10,2,-15,0
3,10,38,3,10,70,-13,1
4,9,4,1,4,96,4,1
1,0,5,3,3,45,-3,1
4,1,14,3,5,31,14,0
1,6,23,1,10,67,-3,1
2,0,35,2,10,29,8,1
2,9,32,2,10,32,4,0
2,14,7,1,10,42,-3,0
1,2,38,2,12,34,-14,1
